key,summary,title,url
SIM LAGAO,"Zong brings to you its SIM Lagao Offer. If you have not used your Zong SIM for 60 days then you can enjoy 6000 Zong minutes, 6000 SMS and 8GB (4GB Data + ...",Sim Lagao Offer - Zong,https://www.google.com/url?q=https://www.zong.com.pk/prepaid/sim-lagao-offer&sa=U&ved=2ahUKEwjaqYzR_8PzAhVVI6YKHSOwBt0QFnoECAgQAg&usg=AOvVaw0NnXYfr_pvpgQ5pa1GEis_
SIM LAGAO,"Ufone brings U an exciting new SIM Lagao Offer. If you fit the criteria, you can enjoy a free bonus for the next 60 days by switching back to your inactive ...

U2U/PTCL Minutes: 6000*
Internet: 6000* MBs",SIM Lagao Offer - Ufone,https://www.google.com/url?q=https://www.ufone.com/sim-lagao-offer/&sa=U&ved=2ahUKEwjaqYzR_8PzAhVVI6YKHSOwBt0QFnoECAcQAg&usg=AOvVaw0aLkzHmOnezlUbAuq6bwFw
SIM LAGAO,"PKR 0.01 供應中With the SIM Lagao Offer, Jazz brings you a brand new reactivation offer! All those subscribers who haven't used their SIM for the last 30 days, can enjoy 50 ...",Prepaid Sim Lagao Offer - Jazz,https://www.google.com/url?q=https://jazz.com.pk/prepaid/sim-lagao-offer&sa=U&ved=2ahUKEwjaqYzR_8PzAhVVI6YKHSOwBt0QFnoECAoQAg&usg=AOvVaw0eWLfCZTDxxMW__FuJ6iQR
UFONE,"Get Sim Cards with the best 4G & 3G coverage with Ufone Pakistan. Explore affordable call, SMS & internet packages & postpay plans.Self Care LoginBuy New SIM CardsInternet OffersSuper Card FamilyPackagesOnline Recharge",Ufone,https://www.google.com/url?q=https://www.ufone.com/&sa=U&ved=2ahUKEwixm4zR_8PzAhURBKYKHZW_ACoQFnoECAcQAg&usg=AOvVaw26gCaNXWiRsFdkGWkyhLXp
UFONE,總部： 巴基斯坦伊斯蘭馬巴德,,https://www.google.com/url?q=https://zh-cn.facebook.com/111665325705/photos/%3Ftab%3Dalbum%26album_id%3D10150609215210706&sa=U&ved=2ahUKEwixm4zR_8PzAhURBKYKHZW_ACoQwW56BAgIEAI&usg=AOvVaw145B64d6N6-3h8lOvIFZAR
UFONE,The latest Tweets from ufone (@Ufone). It's all about U!. Pakistan. ... Internet jo chaley pooray maheeney sirf Ufone Super Internet Plus ke saath!!,Ufone - Twitter,https://www.google.com/url?q=https://twitter.com/ufone&sa=U&ved=2ahUKEwixm4zR_8PzAhURBKYKHZW_ACoQFnoECAYQAg&usg=AOvVaw0dOdnRGWoZgkDOnXYXD4Ge
JazzCash,Send and receive money to and from your friends and family through our 80000 + JazzCash Agents spread across Pakistan or through your own Mobile Account.Contact UsMobile AccountOnline PaymentsMoney Transfer,JazzCash,https://www.google.com/url?q=https://www.jazzcash.com.pk/&sa=U&ved=2ahUKEwjUpozR_8PzAhVxLqYKHXPPAa8QFnoECAcQAg&usg=AOvVaw2ZtiFtw2EdRgD57d8gAg1i
JazzCash,創立於： 2012 年,,https://www.google.com/url?q=https://en.wikipedia.org/wiki/JazzCash&sa=U&ved=2ahUKEwjUpozR_8PzAhVxLqYKHXPPAa8QwW56BAgJEAI&usg=AOvVaw0vXkyZ7j1-kM_MMoKEfj1K
JazzCash,"評分  3.0  (161,230)   · 免費  · Android2021年9月23日 · JazzCash is Pakistan's #1 mobile account trusted by millions of Pakistanis. Download JazzCash app to transfer money to anyone anywhere, ...","JazzCash - Money Transfer, Mobile Load & Payments - Google Play",https://www.google.com/url?q=https://play.google.com/store/apps/details%3Fid%3Dcom.techlogix.mobilinkcustomer%26hl%3Dzh_HK%26gl%3DUS&sa=U&ved=2ahUKEwjUpozR_8PzAhVxLqYKHXPPAa8QFnoECAgQAg&usg=AOvVaw0CMwIq8VQK2pHGcqb53mqo
Ufone,"Get Sim Cards with the best 4G & 3G coverage with Ufone Pakistan. Explore affordable call, SMS & internet packages & postpay plans.Self Care LoginBuy New SIM CardsInternet OffersSuper Card FamilyPackagesOnline Recharge",Ufone,https://www.google.com/url?q=https://www.ufone.com/&sa=U&ved=2ahUKEwim64vR_8PzAhWHN5QKHT5PAv8QFnoECAMQAg&usg=AOvVaw1xoYVAxIBiODv8dB0H3ggH
Ufone,總部： 巴基斯坦伊斯蘭馬巴德,,https://www.google.com/url?q=https://zh-cn.facebook.com/111665325705/photos/%3Ftab%3Dalbum%26album_id%3D10150609215210706&sa=U&ved=2ahUKEwim64vR_8PzAhWHN5QKHT5PAv8QwW56BAgIEAI&usg=AOvVaw2aBG9-XaX1sDj2949F1O9x
Ufone,The latest Tweets from ufone (@Ufone). It's all about U!. Pakistan. ... Internet jo chaley pooray maheeney sirf Ufone Super Internet Plus ke saath!!,Ufone - Twitter,https://www.google.com/url?q=https://twitter.com/ufone&sa=U&ved=2ahUKEwim64vR_8PzAhWHN5QKHT5PAv8QFnoECAYQAg&usg=AOvVaw2ip_bGlrTzHiwqXBfNbSSq
ZONG OFFERS,"One Plus One offer is industry's first one of its kind offer through which all Zong mobile broadband customers (new and existing) will get a free Zong PLUS ONE ...
Super Monthly Offer · Daytime Offer · 3 Day Bundle · User Guide For Zong MBB",Zong 4G Prepaid Packages & Offers,https://www.google.com/url?q=https://www.zong.com.pk/prepaid/data&sa=U&ved=2ahUKEwiN7IvR_8PzAhWuF6YKHTskBnQQFnoECAYQAg&usg=AOvVaw2XGS8FF1YRBKhm_dhnXrLy
ZONG OFFERS,"With 2 Hour Non Stop Offer, get the freedom to make unlimited calls to all Zong numbers and enjoy the fastest data of 1GB for any 2 hours of your choice in ...",Zong 4G Prepaid Packages & Offers,https://www.google.com/url?q=https://www.zong.com.pk/prepaid&sa=U&ved=2ahUKEwiN7IvR_8PzAhWuF6YKHTskBnQQFnoECAEQAg&usg=AOvVaw35BCXMz-XeqLAmpEUHdU0F
ZONG,總部： 巴基斯坦伊斯蘭馬巴德,,https://www.google.com/url?q=https://zh-cn.facebook.com/zong.timergara/photos/&sa=U&ved=2ahUKEwisxIzR_8PzAhVJHKYKHcFdAuEQwW56BAgMEAI&usg=AOvVaw29BRZIrmexPh82G_8fs05L
ZONG,"Zong 4g Pakistan, the No.1 data & communication network brings the widest 4G coverage for its valued subscribers. Explore more affordable Internet packages.
My Zong App · Internet · Online Shop · Contact Us",Zong 4G Pakistan | Telecommunications | 4G In Affordable Price,https://www.google.com/url?q=https://www.zong.com.pk/&sa=U&ved=2ahUKEwisxIzR_8PzAhVJHKYKHcFdAuEQFnoECAkQAg&usg=AOvVaw0IfpUqYU0-33TmEEMwCkGz
JAZZ,新世代JAZZ蘊藏無限可能， JAZZ e:HEV更搭載本田獨有Sport Hybrid i-MMD動感混能系統，令駕駛更揮灑自如，締造出爽快駕駛感及達至最佳燃油效益。,HONDA (HONG KONG) – 新世代JAZZ,https://www.google.com/url?q=https://newjazz.honda.com.hk/&sa=U&ved=2ahUKEwic7YvR_8PzAhUFE6YKHZE1BQ4QFnoECAsQAg&usg=AOvVaw2jjZitXLyRN7rNAGZLsgvd
JAZZ,"爵士樂（英語：Jazz）是一種音樂流派，它於19世紀末期至20世紀初期起源於美國新奧爾良的非裔美國人的社區，植根於藍調和拉格泰姆音樂以及歐洲的軍樂，並且由其發展而來 ...
語源與定義 · 爵士樂的歷史 · 當代爵士（Contemporary Jazz） · 著名的爵士音乐学院",爵士乐- 维基百科，自由的百科全书,https://www.google.com/url?q=https://zh.wikipedia.org/zh-hk/%25E7%2588%25B5%25E5%25A3%25AB%25E4%25B9%2590&sa=U&ved=2ahUKEwic7YvR_8PzAhUFE6YKHZE1BQ4QFnoECAoQAg&usg=AOvVaw1oEOmW2U5nzJuYnefhIlLB
JAZZ,爵士樂是一種音樂流派，它於19世紀末期至20世紀初期起源於美國紐奧良的非裔美國人的社區，植根於藍調和拉格泰姆音樂以及歐洲的軍樂，並且由其發展而來。自1920年代的爵士時代以來，爵士已經被認為是音樂表達的一種主流形式。 維基百科,,https://www.google.com/url?q=https://zh.wikipedia.org/zh-tw/%25E7%2588%25B5%25E5%25A3%25AB%25E4%25B9%2590&sa=U&ved=2ahUKEwic7YvR_8PzAhUFE6YKHZE1BQ4QmhN6BAgMEAU&usg=AOvVaw2hKSqOyKl7y1EDPmoUp1VW
Easypaisa,"Download the Easypaisa App to experience ease through innovative, simple and seamless payments.Money TransferAny QuestionsHow Easypaisa WorksBusiness SolutionsEasypaisa Debit CardAbout Easypaisa",Easypaisa,https://www.google.com/url?q=https://easypaisa.com.pk/&sa=U&ved=2ahUKEwj-kq7R_8PzAhVOFqYKHQBUApAQFnoECAAQAg&usg=AOvVaw1A8nzCKSVJNOOvGQRf1vhQ
Easypaisa,總部： 巴基斯坦克拉嗤,,https://www.google.com/url?q=https://zh-cn.facebook.com/Easypaisa.co/photos/%3Fref%3Dpage_internal&sa=U&ved=2ahUKEwj-kq7R_8PzAhVOFqYKHQBUApAQwW56BAgIEAI&usg=AOvVaw2KmKO6RwW-F2H2qwHq0JVe
Easypaisa,"評分  4.1  (471,418)   · 免費  · Android2021年9月28日 · Experience ease through innovative, simple & seamless payments. Go cashless and use Easypaisa to make online payments.","Easypaisa - Mobile Load, Send Money & Pay Bills - Google Play",https://www.google.com/url?q=https://play.google.com/store/apps/details%3Fid%3Dpk.com.telenor.phoenix%26hl%3Dzh_HK%26gl%3DUS&sa=U&ved=2ahUKEwj-kq7R_8PzAhVOFqYKHQBUApAQFnoECAcQAg&usg=AOvVaw1N3-UkXj52JJeM20E4Kj-g
Jazztunes,Jazz Tunes. Dial *2301*RBT Code#. Or. Dial *230# for USSD menu and subscribe. Or · Jazz Apni Dhun. Listen to a Jazz Tune of your own choice while waiting for ...,Prepaid Jazz Tunes,https://www.google.comhttps://maps.google.com/maps?q=Jazztunes&um=1&ie=UTF-8&sa=X&ved=0ahUKEwjYhrLR_8PzAhWLMZQKHb5EBd0Q_AUICCgB
Jazztunes,Jazz Tunes. Dial *2301*RBT Code#. Or. Dial *230# for USSD menu and subscribe. Or · Jazz Apni Dhun. Listen to a Jazz Tune of your own choice while waiting for ...,Prepaid Jazz Tunes,https://www.google.com/url?q=https://jazz.com.pk/prepaid/jazz-tunes&sa=U&ved=2ahUKEwjYhrLR_8PzAhWLMZQKHb5EBd0QFnoECAkQAg&usg=AOvVaw0bz3sstS1cg-f7Qq04wR2n
Jazztunes,"評分  3.7  (1,688)   · 免費  · Android2020年9月3日 · Jazz Tunes is the ultimate app for phone personalization with ringtones and caller tunes. Now select your favorite tunes from a huge ...",Jazz Tunes - Google Play 應用程式,https://www.google.com/url?q=https://play.google.com/store/apps/details%3Fid%3Dcom.mobizone.rbt%26hl%3Dzh_HK%26gl%3DUS&sa=U&ved=2ahUKEwjYhrLR_8PzAhWLMZQKHb5EBd0QFnoECAoQAg&usg=AOvVaw14BymDVb1J0iEinVw_pzIj
Jazz,新世代JAZZ蘊藏無限可能， JAZZ e:HEV更搭載本田獨有Sport Hybrid i-MMD動感混能系統，令駕駛更揮灑自如，締造出爽快駕駛感及達至最佳燃油效益。,HONDA (HONG KONG) – 新世代JAZZ,https://www.google.com/url?q=https://newjazz.honda.com.hk/&sa=U&ved=2ahUKEwin94zR_8PzAhVjyosBHWRUBt0QFnoECAoQAg&usg=AOvVaw0sNQZctmZsLdsDnyPoQ6QN
Jazz,"爵士樂（英語：Jazz）是一種音樂流派，它於19世紀末期至20世紀初期起源於美國新奧爾良的非裔美國人的社區，植根於藍調和拉格泰姆音樂以及歐洲的軍樂，並且由其發展而來 ...
語源與定義 · 爵士樂的歷史 · 當代爵士（Contemporary Jazz） · 著名的爵士音乐学院",爵士乐- 维基百科，自由的百科全书,https://www.google.com/url?q=https://zh.wikipedia.org/zh-hk/%25E7%2588%25B5%25E5%25A3%25AB%25E4%25B9%2590&sa=U&ved=2ahUKEwin94zR_8PzAhVjyosBHWRUBt0QFnoECAsQAg&usg=AOvVaw165iymdy80LJ0vDezAOhMe
Jazz,爵士樂是一種音樂流派，它於19世紀末期至20世紀初期起源於美國紐奧良的非裔美國人的社區，植根於藍調和拉格泰姆音樂以及歐洲的軍樂，並且由其發展而來。自1920年代的爵士時代以來，爵士已經被認為是音樂表達的一種主流形式。 維基百科,,https://www.google.com/url?q=https://zh.wikipedia.org/zh-tw/%25E7%2588%25B5%25E5%25A3%25AB%25E4%25B9%2590&sa=U&ved=2ahUKEwin94zR_8PzAhVjyosBHWRUBt0QmhN6BAgMEAU&usg=AOvVaw0qCw9Wd3V2SnHKsx_-pJKG
OLIVECASH,"OLIVE token is at the heart of the OliveCash ecosystem. Buy it, win it, farm it, spend it, stake it... heck, you can even vote with it! Buy OLIVE.AvalancheFantomPoolsFarms",OliveCash,https://www.google.com/url?q=https://olive.cash/&sa=U&ved=2ahUKEwjOub_R_8PzAhWhIaYKHdIrAB0QFnoECAQQAg&usg=AOvVaw0RllWixvHA8rYOnNOMUdQ7
OLIVECASH,The latest Tweets from OliveCash #BSC #Avalanche #Fantom (@OliveCashBsc). We do @PancakeSwap job for those who are not added there.,OliveCash #BSC #Avalanche #Fantom (@OliveCashBsc) | Twitter,https://www.google.com/url?q=https://twitter.com/olivecashbsc&sa=U&ved=2ahUKEwjOub_R_8PzAhWhIaYKHdIrAB0QFnoECAcQAg&usg=AOvVaw2Wz6q5XSu8RQTz64FnW4lN
OLIVECASH,"OliveCash Token (OLIVE) Token Tracker on BscScan shows the price of the Token $0.1769, total supply 5989639.149508748845272288, number of holders 4529 and ...",OliveCash Token (OLIVE) Token Tracker | BscScan,https://www.google.com/url?q=https://bscscan.com/token/0x617724974218a18769020a70162165a539c07e8a&sa=U&ved=2ahUKEwjOub_R_8PzAhWhIaYKHdIrAB0QFnoECAgQAg&usg=AOvVaw02c8XW5ICAVoJTO-ppydvN
SPBS,"渋谷区・奥渋谷にオフィスを構える、本と編集の総合企業、SPBSです。イベント・フェア情報や店舗からのお知らせ、編集部のオリジナルコンテンツはこちらをご覧 ...
SPBS本店 · +SPBS 渋谷スクランブル ... · SHOP LIST · Company",SHIBUYA PUBLISHING & BOOKSELLERS（SPBS）- 本と編集の ...,https://www.google.com/url?q=https://www.shibuyabooks.co.jp/&sa=U&ved=2ahUKEwidu7LR_8PzAhVlFqYKHRcLBfgQFnoECAoQAg&usg=AOvVaw3-xdrNzXPhOYmeepsdwvDR
SPBS,私たち合同会社SHIBUYA PUBLISHING & BOOKSELLERS（以下SPBS）は、2007年、奥渋谷とも称される渋谷区神山町で創業した、本と編集の総合企業です。,COMPANY | SHIBUYA PUBLISHING & BOOKSELLERS（SPBS）,https://www.google.com/url?q=https://www.shibuyabooks.co.jp/about/&sa=U&ved=2ahUKEwidu7LR_8PzAhVlFqYKHRcLBfgQFnoECAcQAg&usg=AOvVaw2cYKRSk2Rjdr3TlCevwVTi
SPBS,地址： 中國广东省佛山市顺德区龙京路,,https://www.google.comhttps://maps.google.com/maps?um=1&ie=UTF-8&fb=1&gl=hk&sa=X&geocode=KbtTh9nZTgI0McI3eXfdGLzR&daddr=%E4%B8%AD%E5%9C%8B%E5%B9%BF%E4%B8%9C%E7%9C%81%E4%BD%9B%E5%B1%B1%E5%B8%82%E9%A1%BA%E5%BE%B7%E5%8C%BA%E9%BE%99%E4%BA%AC%E8%B7%AF%E9%A0%86%E5%BE%B7%E5%B8%82%E9%83%B5%E6%94%BF%E5%B1%80%E5%80%89%E5%BA%AB&ved=2ahUKEwidu7LR_8PzAhVlFqYKHRcLBfgQlDt6BAgLEAM
Daraz,"Daraz first made waves in Pakistan's e-commerce market after its introduction in 2012. We have since grown to become Pakistan's largest platform for online ...
Sell Online in Pakistan · Daraz Flash Sale 2021 · Samsung Mobile Phones · Tablets","Online Shopping in Pakistan: Fashion, Electronics & Books - Daraz.pk",https://www.google.com/url?q=https://www.daraz.pk/&sa=U&ved=2ahUKEwiM7L7R_8PzAhUayYsBHfR9A0cQFnoECAoQAg&usg=AOvVaw0uPmaHa9OVfjcW97ZGkPlz
Daraz,創立於： 2012 年,,https://www.google.com/url?q=https://zh-cn.facebook.com/daraznp/photos/&sa=U&ved=2ahUKEwiM7L7R_8PzAhUayYsBHfR9A0cQwW56BAgLEAI&usg=AOvVaw2sSY7vr3wQsEdDoTjCJSCX
Daraz,"Daraz is a global online marketplace with ecommerce stores in Pakistan, Bangladesh, Nepal, Sri Lanka and Myanmar. TRENDING. Mobile Week Sale , Deals Under 999 , ...
Online Electronics Shop · Latest Mobile Phones 2021 · Mobiles & Tablets · App",Online Shopping in Bangladesh: Order Now from Daraz.com.bd,https://www.google.com/url?q=https://www.daraz.com.bd/&sa=U&ved=2ahUKEwiM7L7R_8PzAhUayYsBHfR9A0cQFnoECAQQAg&usg=AOvVaw1cGw3Vw1kwgPlv6b2Gnm5V
Zong,總部： 巴基斯坦伊斯蘭馬巴德,,https://www.google.com/url?q=https://zh-cn.facebook.com/zong.timergara/photos/&sa=U&ved=2ahUKEwjvhrfR_8PzAhUhxYsBHVEsCy0QwW56BAgMEAI&usg=AOvVaw0XgK5P8Ft2xNuMP9RuqYPa
Zong,"Zong 4g Pakistan, the No.1 data & communication network brings the widest 4G coverage for its valued subscribers. Explore more affordable Internet packages.
My Zong App · Internet · Online Shop · Contact Us",Zong 4G Pakistan | Telecommunications | 4G In Affordable Price,https://www.google.com/url?q=https://www.zong.com.pk/&sa=U&ved=2ahUKEwjvhrfR_8PzAhUhxYsBHVEsCy0QFnoECAoQAg&usg=AOvVaw3Zab7ROQoExyZ3Gut1YwGW
INFOSMS,"2013年3月13日 · InfoSMS By InforUMobile - Send SMS Text Messages. 10,442 views10K views. Mar 13, 2013 ...時間長度： 8:31發布時間： 2013年3月13日",Send SMS Text Messages - InfoSMS By InforUMobile - YouTube,https://www.google.com/url?q=https://www.youtube.com/watch%3Fv%3D46mccw04r_U&sa=U&ved=2ahUKEwi04djR_8PzAhUFE4gKHRMZAikQtwJ6BAgDEAE&usg=AOvVaw2YWxJ2rRC7QxnYgKTqzm4u
JAZZ Cares,"Jazz is committed to improving patient care through unique programs and ongoing collaboration with patients, physicians and advocacy groups.",Patient Assistance | Jazz Pharmaceuticals,https://www.google.com/url?q=https://www.jazzpharma.com/our-purpose/patient-assistance/&sa=U&ved=2ahUKEwjDx9TR_8PzAhWMOnAKHT7AAP0QFnoECAkQAg&usg=AOvVaw3JZX37_YMQTWXwcnrfePim
JAZZ Cares,"Learn about JazzCares, a Jazz Pharmaceuticals program designed to assist you or your loved ones with reimbursement for ZEPZELCA. Speak to a JazzCares ...",JazzCares Financial Assistance | ZEPZELCA™ (lurbinectedin),https://www.google.com/url?q=https://www.zepzelca.com/jazz-cares-financial-assistance/&sa=U&ved=2ahUKEwjDx9TR_8PzAhWMOnAKHT7AAP0QFnoECAgQAg&usg=AOvVaw05W2qVLu6djFkOvztrkGmI
JAZZ Cares,*Insurance coverage and plans may vary. The JazzCares program at Jazz Pharmaceuticals provides general information only and is not a guarantee of any coverage ...,JazzCares® for XYWAV,https://www.google.com/url?q=https://www.xywav.com/jazzcares-for-xywav/&sa=U&ved=2ahUKEwjDx9TR_8PzAhWMOnAKHT7AAP0QFnoECAoQAg&usg=AOvVaw2rRwfdgJpilIBBqviCn556
PTA,家長教師聯誼會是由家長、教師和其他的學校工作人員組成的正式組織，旨在促進家長參與到學校的教育工作中來。一般在日本、美國及英國等國家中常見該組織，該組織有時也名為「家長教師學生聯誼會」。 維基百科,,https://www.google.com/imgres?imgurl=http://ccckyc.edu.hk/wp-content/uploads/2020/10/top02.jpg&imgrefurl=http://ccckyc.edu.hk/ccckyc/association/parent-teacher-association/&h=413&w=500&tbnid=mNEFvrMlY9tMkM&q=PTA&tbnh=204&tbnw=247&usg=AI4_-kTQUFQSx-AC9wCWdR1WHnqpfLlDzg&vet=1&docid=QSRdd-l1Tjq6HM&itg=1&sa=X&ved=2ahUKEwieqtPR_8PzAhXsyYsBHdEOAUQQ9QF6BAgNEAQ
